invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,revenue,age_group,month
I138884,C241288,Female,28,Clothing,5,1500.4,Credit Card,05-08-22,Kanyon,7502,26-35,August
I317333,C111565,Male,21,Shoes,3,1800.51,Debit Card,12-12-21,Forum Istanbul,5401.53,18-25,December
I127801,C266599,Male,20,Clothing,1,300.08,Cash,09-11-21,Metrocity,300.08,18-25,November
I173702,C988172,Female,66,Shoes,5,3000.85,Credit Card,16-05-21,Metropol AVM,15004.25,65+,May
I337046,C189076,Female,53,Books,4,60.6,Cash,24-10-21,Kanyon,242.4,46-55,October
I227836,C657758,Female,28,Clothing,5,1500.4,Credit Card,24-05-22,Forum Istanbul,7502,26-35,May
I121056,C151197,Female,49,Cosmetics,1,40.66,Cash,13-03-22,Istinye Park,40.66,46-55,March
I293112,C176086,Female,32,Clothing,2,600.16,Credit Card,13-01-21,Mall of Istanbul,1200.32,26-35,January
I293455,C159642,Male,69,Clothing,3,900.24,Credit Card,04-11-21,Metrocity,2700.72,65+,November
I326945,C283361,Female,60,Clothing,2,600.16,Credit Card,22-08-21,Kanyon,1200.32,56-65,August
I306368,C240286,Female,36,Food & Beverage,2,10.46,Cash,25-12-22,Metrocity,20.92,36-45,December
I139207,C191708,Female,29,Books,1,15.15,Credit Card,28-10-22,Emaar Square Mall,15.15,26-35,October
I640508,C225330,Female,67,Toys,4,143.36,Debit Card,31-07-22,Metrocity,573.44,65+,July
I179802,C312861,Male,25,Clothing,2,600.16,Cash,17-11-22,Cevahir AVM,1200.32,18-25,November
I336189,C555402,Female,67,Clothing,2,600.16,Credit Card,03-06-22,Kanyon,1200.32,65+,June
I688768,C362288,Male,24,Shoes,5,3000.85,Credit Card,07-11-21,Viaport Outlet,15004.25,18-25,November
I294687,C300786,Male,65,Books,2,30.3,Debit Card,16-01-21,Metrocity,60.6,56-65,January
I195744,C330667,Female,42,Food & Beverage,3,15.69,Credit Card,05-01-22,Zorlu Center,47.07,36-45,January
I993048,C218149,Female,46,Clothing,2,600.16,Cash,26-07-21,Metropol AVM,1200.32,46-55,July
I992454,C196845,Male,24,Toys,4,143.36,Cash,07-03-23,Cevahir AVM,573.44,18-25,March
I183746,C220180,Male,23,Clothing,1,300.08,Credit Card,15-02-23,Emaar Square Mall,300.08,18-25,February
I412481,C125696,Female,27,Food & Beverage,1,5.23,Cash,01-05-21,Cevahir AVM,5.23,26-35,May
I823067,C322947,Male,52,Clothing,2,600.16,Credit Card,18-06-22,Cevahir AVM,1200.32,46-55,June
I252275,C313348,Male,44,Technology,5,5250,Cash,26-10-21,Kanyon,26250,36-45,October
